Record_ID | Age | Income | Expenses | Credit_Score | Loan_Amount | EMI | Risk_Level | Region | Delay_Days | Satisfaction
R001 | 23 | 35000 | 18000.50 | 720 | 150000 | 3200.75 | Low | South | 0 | 4.1
R002 | 31 | 58000.75 | 24000 | 680 | 250000 | 5100 | Medium | North | 3 | 3.8
R003 | 45 | 120000 | 55000.25 | 610 | 750000 | 12500.90 | High | West | 18 | 2.9
R004 | 29 | 42000 | 21000 | 710 | 200000 | 4500 | Low | East | 1 | 4.5
R005 | 38 | 76000 | 39000 | 650 | 400000 | 8200.40 | Medium | South | 6 | 3.4
R006 | 52 | 180000 | 95000 | 590 | 1200000 | 24000 | High | North | 35 | 2.1
R007 | 26 | 40000 | 19000.75 | 735 | 160000 | 3400 | Low | East | 0 | 4.7
R008 | 41 | 89000 | 47000 | 670 | 520000 | 9800.30 | Medium | West | 9 | 3.0
R009 | 34 | 61000 | 30000 | 700 | 300000 | 6200 | Medium | South | 4 | 3.9
R010 | 60 | 250000 | 140000 | 560 | 2000000 | 38000 | High | North | 60 | 1.8
R011 | 22 | 32000 | 15000 | 745 | 140000 | 3000.50 | Low | East | 0 | 4.9
R012 | 48 | 135000 | 72000.60 | 600 | 900000 | 17500 | High | West | 22 | 2.5
R013 | 37 | 72000 | NA | 685 | 380000 | 7600 | Medium | South | 5 | 3.6
R014 | NA | 54000 | 26000 | 710 | 220000 | 4600 | Low | East | 2 | 4.2
R015 | 29 | 58000 | 900000 | 695 | 250000 | 5100 | Medium | North | 3 | 3.7
